종목명,자격구분,주무부처
측량및지형공간정보산업기사,국가기술자격,국토교통부
지적산업기사,국가기술자격,국토교통부
금속재료산업기사,국가기술자격,산업통상자원부
치공구설계산업기사,국가기술자격,고용노동부
해양조사산업기사,국가기술자격,해양수산부
기계안전기사2급,국가기술자격,고용노동부
화공안전기사2급,국가기술자격,고용노동부
전기안전기사2급,국가기술자격,고용노동부
산업안전산업기사,국가기술자격,고용노동부
조경산업기사,국가기술자격,국토교통부
전자계산기산업기사,국가기술자격,지식경제부
자동차정비산업기사,국가기술자격,국토교통부
메카트로닉스산업기사,국가기술자격,고용노동부
건설기계설비산업기사,국가기술자격,국토교통부
배관산업기사,국가기술자격,고용노동부
철도동력차기관정비산업기사,국가기술자격,국토해양부
철도동력차전기정비산업기사,국가기술자격,국토해양부
객화차정비산업기사,국가기술자격,국토해양부
방사선비파괴검사기사,국가기술자격,과학기술정보통신부
초음파비파괴검사기사,국가기술자격,과학기술정보통신부
철도신호기사,국가기술자격,국토교통부
전기철도기사,국가기술자격,국토교통부
보일러산업기사,국가기술자격,산업통상자원부
건설기계정비산업기사,국가기술자격,국토교통부
기계설계산업기사,국가기술자격,고용노동부
전산응용가공산업기사,국가기술자격,고용노동부
건설재료시험기사,국가기술자격,국토교통부
교통기사,국가기술자격,국토교통부
철도토목기사,국가기술자격,국토교통부
생산자동화산업기사,국가기술자격,고용노동부
기계정비산업기사,국가기술자격,고용노동부
임상심리사1급,국가기술자격,보건복지부
임상심리사2급,국가기술자격,보건복지부
텔레마케팅관리사,국가기술자격,고용노동부
멀티미디어콘텐츠제작전문가,국가기술자격,과학기술정보통신부
전자기술사(전자음향),국가기술자격,과학기술부
전자응용기술사,국가기술자격,과학기술정보통신부
전기통신기술사,국가기술자격,정보통신부
발송배전기술사,국가기술자격,산업통상자원부
소방기술사,국가기술자격,소방청
천장크레인운전기능사,국가기술자격,고용노동부
플랜트배관기능사,국가기술자격,고용노동부
동력기계정비기능사,국가기술자격,산업통상자원부
응용지질기사,국가기술자격,산업통상자원부
사무자동화산업기사,국가기술자격,과학기술정보통신부
플라스틱창호기능사,국가기술자격,국토교통부
소비자전문상담사1급,국가기술자격,공정거래위원회
전기기기기술사,국가기술자격,과학기술부
전기응용기술사,국가기술자격,산업통상자원부
전기기술사(전기재료),국가기술자격,과학기술부
철도신호기술사,국가기술자격,국토교통부
화공기술사(섬유소),국가기술자격,과학기술부
고분자제품기술사,국가기술자격,과학기술부
양복기능사(양복패턴),국가기술자격,고용노동부
양장기능사(양장봉제),국가기술자격,고용노동부
양장기능사(양장패턴),국가기술자격,고용노동부
콘크리트기사,국가기술자격,국토교통부
화훼장식기능사,국가기술자격,농림축산식품부
농림토양평가관리기사,국가기술자격,농림수산식품부
농림토양평가관리산업기사,국가기술자격,농림축산식품부
웹디자인기능사,국가기술자격,산업통상자원부
화공기술사(전기화학),국가기술자격,과학기술부
공업화학기술사,국가기술자격,과학기술부
화학공장설계기술사,국가기술자격,과학기술부
비철야금기술사,국가기술자격,교육과학기술부
자연생태복원기사,국가기술자격,환경부
자연생태복원산업기사,국가기술자격,환경부
생물분류기사,국가기술자격,환경부
토양환경기사,국가기술자격,환경부
토양환경기술사,국가기술자격,환경부
자연환경관리기술사,국가기술자격,환경부
궤도장비정비기사,국가기술자격,국방부
궤도장비정비산업기사,국가기술자격,국방부
궤도장비정비기능사,국가기술자격,국방부
금속재료기술사,국가기술자격,산업통상자원부
표면처리기술사,국가기술자격,과학기술정보통신부
금속가공기술사,국가기술자격,과학기술정보통신부
화공기술사(화학비료),국가기술자격,과학기술부
화공기술사(무기약품),국가기술자격,과학기술부
차량기술사,국가기술자격,과학기술정보통신부
기계기술사(냉난방및냉동기계),국가기술자격,과학기술부
유기농업기사,국가기술자격,농림축산식품부
유기농업산업기사,국가기술자격,농림축산식품부
생물분류기사(식물),국가기술자격,환경부
생물분류기사(동물),국가기술자격,환경부
인간공학기술사,국가기술자격,고용노동부
인간공학기사,국가기술자격,고용노동부
공조냉동기계기술사,국가기술자격,국토교통부
건설기계기술사,국가기술자격,국토교통부
염색가공기사,국가기술자격,고용노동부
방사기사,국가기술자격,고용노동부
대기관리기술사,국가기술자격,환경부
수질관리기술사,국가기술자격,환경부
축산기술사,국가기술자격,농림축산식품부
기계공정설계기술사,국가기술자격,교육과학기술부
선박기계기사1급,국가기술자격,고용노동부
항공기사,국가기술자격,국토교통부
토목기사,국가기술자격,국토교통부
건축구조기사1급,국가기술자격,건설교통부
건축설비기사1급,국가기술자격,건설교통부
건축시공기사1급,국가기술자격,건설교통부
석재기사1급,국가기술자격,고용노동부
공업계기기사1급,국가기술자격,산업자원부
에너지기술사(원자로계측),국가기술자격,과학기술부
수산제조기술사,국가기술자격,해양수산부
응용지질기술사,국가기술자격,과학기술부
지구물리기술사,국가기술자격,과학기술부
제품디자인기술사,국가기술자격,산업통상자원부
화약류관리기사1급,국가기술자격,행정안전부
종자기술사,국가기술자격,농촌진흥청
시설원예기술사,국가기술자격,농촌진흥청
산업응용기술사(농예화학),국가기술자격,과학기술부
세라믹기술사,국가기술자격,과학기술정보통신부
식품기술사,국가기술자격,식품의약품안전처
토목품질시험기술사,국가기술자격,국토교통부
전기기사,국가기술자격,산업통상자원부
전기공사기사,국가기술자격,산업통상자원부
전자기사,국가기술자격,산업통상자원부
금속기사,국가기술자격,고용노동부
비파괴검사기술사,국가기술자격,과학기술정보통신부
산업위생관리기술사,국가기술자격,고용노동부
가스기술사,국가기술자격,산업통상자원부
공장관리기술사,국가기술자격,산업통상자원부
품질관리기술사,국가기술자격,산업통상자원부
화공기사,국가기술자격,고용노동부
공업화학기사,국가기술자격,고용노동부
화약류제조기사,국가기술자격,경찰청
치공구설계기사,국가기술자격,고용노동부
포장기술사,국가기술자격,산업통상자원부
기계안전기술사,국가기술자격,고용노동부
화공안전기술사,국가기술자격,고용노동부
전기안전기술사,국가기술자격,고용노동부
건설안전기술사,국가기술자격,고용노동부
금속기사1급,국가기술자격,고용노동부
측량및지형공간정보기술사,국가기술자격,국토교통부
지적기술사,국가기술자격,국토교통부
해양기술사,국가기술자격,해양수산부
수산양식기술사,국가기술자격,해양수산부
어로기술사,국가기술자격,해양수산부
도시계획기술사,국가기술자격,국토교통부
전자캐드기능사,국가기술자격,고용노동부
"대기관리,수질관리,소음진동기술사",국가기술자격,환경부
자동차정비기사,국가기술자격,국토교통부
정보관리기술사,국가기술자격,과학기술정보통신부
조경기술사,국가기술자격,국토교통부
정보처리기술사(정보처리),국가기술자격,과학기술부
기계기술사(기계공작및공작기계),국가기술자격,과학기술부
용접기술사,국가기술자격,과학기술정보통신부
금형기술사,국가기술자격,산업통상자원부
기계기술사(열원동기),국가기술자격,과학기술부
정보처리기술사(수학응용),국가기술자격,과학기술부
전자계산조직응용기술사,국가기술자격,지식경제부
의류기술사,국가기술자격,과학기술정보통신부
유체기계기술사,국가기술자격,과학기술부
기계기술사(정밀기계),국가기술자격,과학기술부
기계제작기술사,국가기술자격,교육과학기술부
탐사기술사,국가기술자격,과학기술부
지하자원처리기술사,국가기술자격,과학기술부
화약류관리기술사,국가기술자격,경찰청
건축품질시험기술사,국가기술자격,국토교통부
방사기술사,국가기술자격,교육과학기술부
옵셋제판기능사보,국가기술자격,고용노동부
냉동식품제조기능사보,국가기술자격,보건복지부
통조림제조기능사보,국가기술자격,보건복지부
어간유제조기능사보,국가기술자격,해양수산부
제포기술사,국가기술자격,과학기술부
염색가공기술사,국가기술자격,교육과학기술부
디지털제어산업기사,국가기술자격,지식경제부
화공기술사(유기화학제품),국가기술자격,과학기술부
한천제조기능사보,국가기술자격,해양수산부
전신단말기기기능사보,국가기술자격,정보통신부
전화단말기기기능사보,국가기술자격,정보통신부
건축구조기술사,국가기술자격,국토교통부
건축기술사(건축설비),국가기술자격,국토교통부
건축기계설비기술사,국가기술자격,국토교통부
건축전기설비기술사,국가기술자격,국토교통부
건축시공기술사,국가기술자격,국토교통부
전기철도기술사,국가기술자격,국토교통부
토목기술사(수자원),국가기술자격,과학기술부
교환기스윗치조정기능사보,국가기술자격,정보통신부
토목기술사(에너지토목),국가기술자격,과학기술부
수자원개발기술사,국가기술자격,환경부
상하수도기술사,국가기술자격,환경부
농어업토목기술사,국가기술자격,국토교통부
토목시공기술사,국가기술자격,국토교통부
토질및기초기술사,국가기술자격,국토교통부
지질및지반기술사,국가기술자격,국토교통부
메카트로닉스기능사,국가기술자격,고용노동부
토목구조기술사,국가기술자격,국토교통부
항만및해안기술사,국가기술자격,국토교통부
도로및공항기술사,국가기술자격,국토교통부
철도기술사,국가기술자격,국토교통부
철도차량기술사,국가기술자격,국토교통부
선박건조기술사,국가기술자격,과학기술부
생산자동화기능사,국가기술자격,고용노동부
공유압기능사,국가기술자격,고용노동부
패션머천다이징산업기사,국가기술자격,산업통상자원부
항로표지기사,국가기술자격,해양수산부
항로표지산업기사,국가기술자격,해양수산부
항로표지기능사,국가기술자격,해양수산부
컬러리스트기사,국가기술자격,산업통상자원부
컬러리스트산업기사,국가기술자격,산업통상자원부
제품응용모델링기능사,국가기술자격,산업통상자원부
기상예보기술사,국가기술자격,기상청
조선기술사(기관),국가기술자격,과학기술부
조선기술사(검사),국가기술자격,과학기술부
선박기계기술사,국가기술자격,과학기술부
항공기체기술사,국가기술자격,과학기술정보통신부
항공기관기술사,국가기술자격,과학기술정보통신부
항공기술사(항공장비),국가기술자격,과학기술부
전자계산기기술사,국가기술자격,지식경제부
전자기술사(전자재료),국가기술자격,과학기술부
전자출판기능사,국가기술자격,문화체육관광부
컨벤션기획사1급,국가기술자격,문화체육관광부
화공기술사(연료및윤활유),국가기술자격,과학기술부
소비자전문상담사2급,국가기술자격,공정거래위원회
전기기능장,국가기술자격,산업통상자원부
판금기능사,국가기술자격,고용노동부
배관기능사,국가기술자격,고용노동부
표면처리기능사,국가기술자격,고용노동부
식품가공기능사,국가기술자격,식품의약품안전처
전기기능사,국가기술자격,산업통상자원부
원예기능사,국가기술자격,농촌진흥청
철도운송산업기사,국가기술자격,국토교통부
온돌기능사보,국가기술자격,고용노동부
임산가공기술사,국가기술자격,산림청
산림기술사,국가기술자격,산림청
철골기능사보,국가기술자격,고용노동부
창호제작기능사보,국가기술자격,국토교통부
초상사진기능사보,국가기술자격,고용노동부
상업사진기능사보,국가기술자격,고용노동부
보도사진기능사보,국가기술자격,고용노동부
유선설비기능사보,국가기술자격,정보통신부
전신전화기기기능사보,국가기술자격,정보통신부
문선식자기능사보,국가기술자격,고용노동부
금속재료기사,국가기술자격,산업통상자원부
전자계산기제어산업기사,국가기술자격,과학기술정보통신부
컴퓨터응용선반기능사,국가기술자격,고용노동부
컴퓨터응용밀링기능사,국가기술자격,고용노동부
철도차량정비기능사,국가기술자격,국토교통부
압연기능사,국가기술자격,고용노동부
피복아크용접기능사,국가기술자격,고용노동부
어업생산관리기사,국가기술자격,해양수산부
에너지관리기사,국가기술자격,산업통상자원부
에너지관리산업기사,국가기술자격,산업통상자원부
철야금기술사,국가기술자격,교육과학기술부
화훼장식기사,국가기술자격,농림축산식품부
스포츠경영관리사,국가기술자격,문화체육관광부
산업계측제어기술사,국가기술자격,과학기술정보통신부
위험물산업기사,국가기술자격,소방청
위험물기능장,국가기술자격,소방청
유기농업기능사,국가기술자격,농림축산식품부
기편기능사보,국가기술자격,고용노동부
수편기능사보,국가기술자격,고용노동부
수자수기능사보,국가기술자격,고용노동부
위험물기능사(제1류),국가기술자격,소방청
위험물기능사(제2류),국가기술자격,소방청
위험물기능사(제3류),국가기술자격,소방청
위험물기능사(제4류),국가기술자격,소방청
위험물기능사(제5류),국가기술자격,소방청
위험물기능사(제6류),국가기술자격,소방청
양복기능사(양복봉제),국가기술자격,고용노동부
섬유물리기사,국가기술자격,고용노동부
기계자수기능사보,국가기술자격,고용노동부
나전칠기기능사보,국가기술자격,고용노동부
섬유화학기사,국가기술자격,고용노동부
섬유물리산업기사,국가기술자격,고용노동부
섬유화학산업기사,국가기술자격,고용노동부
정보처리기능사(상시),국가기술자격,정보통신부
자동차보수도장기능사,국가기술자격,국토교통부
설비보전기사,국가기술자격,산업통상자원부
설비보전기능사,국가기술자격,산업통상자원부
전자부품장착산업기사,국가기술자격,산업통상자원부
전자부품장착기능사,국가기술자격,산업통상자원부
화학분석기사,국가기술자격,산업통상자원부
타워크레인운전기능사,국가기술자격,국토교통부
반도체설계산업기사,국가기술자격,산업통상자원부
컨벤션기획사2급,국가기술자격,문화체육관광부
산업기계설비기술사,국가기술자격,과학기술정보통신부
화공기술사,국가기술자격,과학기술정보통신부
조선기술사,국가기술자격,산업통상자원부
섬유공정기술사,국가기술자격,교육과학기술부
기계설계기사,국가기술자격,고용노동부
직업상담사1급,국가기술자격,고용노동부
음향영상기기기능사보,국가기술자격,고용노동부
통신나선기능사보,국가기술자격,정보통신부
섬유기계기사,국가기술자격,고용노동부
품질경영기사,국가기술자격,산업통상자원부
의료전자기능사,국가기술자격,보건복지부
의공산업기사,국가기술자격,보건복지부
의공기사,국가기술자격,보건복지부
미용사(일반),국가기술자격,보건복지부
미용사(피부),국가기술자격,보건복지부
통신케이블기능사보,국가기술자격,정보통신부
제지기능사보,국가기술자격,고용노동부
전기기기(1)기능사보,국가기술자격,고용노동부
전기기기(2)기능사보,국가기술자격,고용노동부
전기철도산업기사,국가기술자격,국토교통부
열처리기능사보,국가기술자격,고용노동부
주물용해기능사보,국가기술자격,고용노동부
산림기사,국가기술자격,산림청
판금제관산업기사,국가기술자격,고용노동부
컴퓨터응용가공산업기사,국가기술자격,고용노동부
품질경영산업기사,국가기술자격,산업통상자원부
화학분쇄혼합기능사보,국가기술자격,고용노동부
화학열기기조작기능사보,국가기술자격,고용노동부
화학분리기기조작기능사보,국가기술자격,고용노동부
화학반응기기조작기능사보,국가기술자격,고용노동부
화학유화기기조작기능사보,국가기술자격,고용노동부
금속기사(제련분야),국가기술자격,고용노동부
경매사(수산),국가전문자격,농림축산식품부
경매사(축산),국가전문자격,농림축산식품부
경매사(약용),국가전문자격,농림축산식품부
관광통역안내사(태국어),국가전문자격,문화체육관광부
관광통역안내사(아랍어),국가전문자격,문화체육관광부
관광통역안내사(베트남어),국가전문자격,문화체육관광부
관광통역안내사(말레이/인도네시아어),국가전문자격,문화체육관광부
경매사(화훼),국가전문자격,농림축산식품부
경매사(양곡),국가전문자격,농림축산식품부
관광통역안내사(이탈리아어),국가전문자격,문화체육관광부
경매사(청과),국가전문자격,농림축산식품부
1급 청소년지도사,국가전문자격,여성가족부
2급 청소년지도사,국가전문자격,여성가족부
3급 청소년지도사,국가전문자격,여성가족부
1급 청소년상담사,국가전문자격,여성가족부
2급 청소년상담사,국가전문자격,여성가족부
3급 청소년상담사,국가전문자격,여성가족부
기계기술사,국가기술자격,과학기술정보통신부
컴퓨터시스템응용기술사,국가기술자격,과학기술정보통신부
섬유기술사,국가기술자격,과학기술정보통신부
금형기능사,국가기술자격,산업통상자원부
건설기계정비기능사,국가기술자격,국토교통부
판금제관기능사,국가기술자격,고용노동부
기상감정기사,국가기술자격,기상청
재료조직평가산업기사,국가기술자격,산업통상자원부
섬유기사,국가기술자격,고용노동부
에너지관리기능사,국가기술자격,산업통상자원부
위험물기능사,국가기술자격,소방청
컨테이너크레인운전기능사,국가기술자격,해양수산부
원예종묘기능사2급,국가기술자격,농촌진흥청
섬유산업기사,국가기술자격,고용노동부
철도전기신호기능사,국가기술자격,국토교통부
광학기기산업기사,국가기술자격,산업통상자원부
금속제련기술사,국가기술자격,과학기술정보통신부
산업안전지도사(건설안전),국가전문자격,고용노동부
산업안전지도사(화공안전),국가전문자격,고용노동부
신재생에너지발전설비기사(태양광),국가기술자격,산업통상자원부
신재생에너지발전설비기능사(태양광),국가기술자격,산업통상자원부
원예종묘기사2급,국가기술자격,농촌진흥청
그린전동자동차기사,국가기술자격,산업통상자원부
문화재수리기능자(온돌공),국가전문자격,문화재청
문화재수리기능자(모사공),국가전문자격,문화재청
라디오텔레비기능사2급,국가기술자격,고용노동부
수산물품질관리사,국가전문자격,해양수산부
산업보건지도사(직업환경의학),국가전문자격,고용노동부
산업보건지도사(산업위생공학),국가전문자격,고용노동부
임베디드기사,국가기술자격,산업통상자원부
국제의료관광코디네이터,국가기술자격,보건복지부
원예종묘기사1급,국가기술자격,농촌진흥청
반도체장비유지보수기능사,국가기술자격,산업통상자원부
미용사(네일),국가기술자격,보건복지부
건설기계기사1급,국가기술자격,국토교통부
미용사(메이크업),국가기술자격,보건복지부
산업안전지도사(기계안전),국가전문자격,고용노동부
외국어번역행정사,국가전문자격,행정안전부
손해평가사,국가전문자격,농림축산식품부
신재생에너지발전설비산업기사(태양광),국가기술자격,산업통상자원부
화재감식평가산업기사,국가기술자격,소방청
해사행정사,국가전문자격,행정안전부
천공기운전기능사,국가기술자격,국토교통부
온실가스관리기사,국가기술자격,환경부
산업안전지도사(전기안전),국가전문자격,고용노동부
화재감식평가기사,국가기술자격,소방청
방수산업기사,국가기술자격,국토교통부
일반행정사,국가전문자격,행정안전부
온실가스관리산업기사,국가기술자격,환경부
이산화탄소가스아크용접기능사,국가기술자격,고용노동부
기술지도사(정보기술관리),국가전문자격,중소벤처기업부
기계기술사(교통차량),국가기술자격,과학기술부
조선선체기사,국가기술자격,산업통상자원부
조선의장기사,국가기술자격,산업통상자원부
한복기능장,국가기술자격,문화체육관광부
공간정보융합산업기사,국가기술자격,국토교통부
공간정보융합기능사,국가기술자격,국토교통부
제빵산업기사,국가기술자격,식품의약품안전처
항공전기·전자정비기능사,국가기술자격,국토교통부
건축배관기능사2급,국가기술자격,고용노동부
화훼장식산업기사,국가기술자격,농림축산식품부
방재기사,국가기술자격,행정안전부
정밀화학기사,국가기술자격,고용노동부
로봇소프트웨어개발기사,국가기술자격,산업통상자원부
보석감정산업기사,국가기술자격,고용노동부
이러닝운영관리사,국가기술자격,산업통상자원부
항공기정비기능사,국가기술자격,국토교통부
가스텅스텐아크용접기능사,국가기술자격,고용노동부
3D프린터운용기능사,국가기술자격,과학기술정보통신부
식육가공기사,국가기술자격,농림축산식품부
기술지도사(기술혁신관리),국가전문자격,중소벤처기업부
바이오화학제품제조산업기사,국가기술자격,산업통상자원부
버섯산업기사,국가기술자격,농촌진흥청
농작업안전보건기사,국가기술자격,농림축산식품부
신발산업기사,국가기술자격,산업통상자원부
로봇하드웨어개발기사,국가기술자격,산업통상자원부
잠수기능장,국가기술자격,해양수산부
환경위해관리기사,국가기술자격,환경부
채소재배기능사2급,국가기술자격,농촌진흥청
측지기사2급,국가기술자격,건설부
로봇기구개발기사,국가기술자격,산업통상자원부
